country_label,foundation,n,mean,sd
Argentina,Care,205,3.8382113821138213,0.7738425532022005
Chile,Care,205,3.772357723577236,0.8240959408785912
Colombia,Care,205,3.8308943089430896,0.7050776871202635
Mexico,Care,206,3.766990291262136,0.7853122575833773
Peru,Care,205,3.6203252032520323,0.7250902599055035
Argentina,Equality,205,2.8073170731707315,1.0113062422621795
Chile,Equality,205,2.7747967479674798,0.8799627544543267
Colombia,Equality,205,2.9113821138211384,0.9012400606088659
Mexico,Equality,206,2.8729773462783172,0.9071639493060885
Peru,Equality,205,2.6308943089430894,0.9240313259192513
Argentina,Proportionality,205,3.9146341463414633,0.6565012888733456
Chile,Proportionality,205,3.6983739837398373,0.6940437230577875
Colombia,Proportionality,205,3.6910569105691056,0.6839676790324208
Mexico,Proportionality,206,3.8025889967637543,0.6967783287864329
Peru,Proportionality,205,3.7504065040650407,0.6910619039400998
Argentina,Loyalty,205,3.5821138211382118,0.8172666050664504
Chile,Loyalty,205,3.448780487804878,0.8812714114883868
Colombia,Loyalty,205,3.6707317073170733,0.8217228805874905
Mexico,Loyalty,206,3.77831715210356,0.7464054237795031
Peru,Loyalty,205,3.729268292682927,0.7635912713853564
Argentina,Authority,205,3.6715447154471543,0.7257165708148154
Chile,Authority,205,3.6682926829268294,0.8113086613503802
Colombia,Authority,205,3.8390243902439023,0.6810899904640069
Mexico,Authority,206,3.9441747572815533,0.6696972124048197
Peru,Authority,205,3.8138211382113822,0.6926306617865297
Argentina,Purity,205,2.596747967479675,0.8168235436241901
Chile,Purity,205,2.5430894308943093,0.8512212136683834
Colombia,Purity,205,2.9804878048780488,0.8598074342902541
Mexico,Purity,206,2.8139158576051777,0.8142700759398922
Peru,Purity,205,2.999186991869919,0.8202398755393026
