model,language,foundation,pooled_model_sd,between_country_spread,mean_human_sd,sd_ratio,degenerate,near_ceiling
mistral:7b,en,Care,0.0,0.0,0.7626837397379872,0.0,True,True
llama3.1:8b,en,Care,0.07114791550919108,0.011155467020454678,0.7626837397379872,0.09328626244691315,False,True
qwen2.5:7b,en,Care,0.07411232836396894,0.010645812948447662,0.7626837397379872,0.09717308040345732,False,True
mistral:7b,es,Care,0.1242559291199565,0.031358146203711246,0.7626837397379872,0.16291933687040902,False,False
mistral:7b,en,Purity,0.1816872677853997,0.027243755655603545,0.8324724286124046,0.2182501924877472,False,False
mistral:7b,en,Authority,0.2038233391742625,0.029720924166878486,0.7160886193641103,0.2846342389231915,False,False
mistral:7b,en,Loyalty,0.2663393238532593,0.044372163446116566,0.8060515184614376,0.3304246909200522,False,False
mistral:7b,es,Proportionality,0.22764729994597072,0.036560452221856894,0.6844705847380173,0.33258887236637535,False,False
mistral:7b,es,Purity,0.277166127125739,0.04272652051777182,0.8324724286124046,0.33294331151330697,False,False
qwen2.5:7b,es,Purity,0.3026994421095921,0.06238767684585021,0.8324724286124046,0.36361497595078623,False,False
mistral:7b,es,Equality,0.3521464747371332,0.013540064007726667,0.9247408665101423,0.3808055721232375,False,False
qwen2.5:7b,es,Equality,0.3556743442799016,0.03420526275297405,0.9247408665101423,0.38462055388789357,False,False
mistral:7b,es,Authority,0.2888876016859385,0.09168181692983371,0.7160886193641103,0.40342437217124316,False,False
qwen2.5:7b,en,Purity,0.3474494303475219,0.08057432731473615,0.8324724286124046,0.4173704958933755,False,False
mistral:7b,en,Equality,0.3977603520148589,0.03548082424196039,0.9247408665101423,0.43013169031445236,False,False
llama3.1:8b,es,Care,0.3317230179571055,0.0307318148576428,0.7626837397379872,0.4349417729438756,False,False
mistral:7b,es,Loyalty,0.35698174475254135,0.1083307692004243,0.8060515184614376,0.44287708239038537,False,False
qwen2.5:7b,es,Care,0.351877732203031,0.06189597007165419,0.7626837397379872,0.46136781718188363,False,False
llama3.1:8b,es,Purity,0.38579241515978985,0.052419250068822726,0.8324724286124046,0.4634296607310379,False,False
qwen2.5:7b,en,Equality,0.4414612060307963,0.06853223086013367,0.9247408665101423,0.47738909571155463,False,False
qwen2.5:7b,es,Proportionality,0.33620184753313664,0.07900070323175053,0.6844705847380173,0.4911852386787647,False,False
llama3.1:8b,en,Purity,0.42328742543771597,0.26716619879351844,0.8324724286124046,0.5084702038039469,False,False
llama3.1:8b,en,Equality,0.4846050296952044,0.20637883181717595,0.9247408665101423,0.5240441373852589,False,False
qwen2.5:7b,en,Proportionality,0.3589140246750381,0.0742144041125292,0.6844705847380173,0.5243673470824364,False,False
qwen2.5:7b,es,Authority,0.4186232508462004,0.19749824190497378,0.7160886193641103,0.5845969891519008,False,False
llama3.1:8b,en,Proportionality,0.4175831954505751,0.06418722614352503,0.6844705847380173,0.6100820177837242,False,False
mistral:7b,en,Proportionality,0.4251681558299213,0.04930629889893492,0.6844705847380173,0.6211635171914004,False,False
qwen2.5:7b,es,Loyalty,0.501363157419876,0.31844587888333215,0.8060515184614376,0.6219988994957296,False,False
llama3.1:8b,en,Loyalty,0.5045336627693636,0.1787704922208607,0.8060515184614376,0.6259322775452362,False,False
qwen2.5:7b,en,Loyalty,0.5178491887027258,0.019776529298921687,0.8060515184614376,0.6424517252832398,False,False
llama3.1:8b,es,Equality,0.6062757467724551,0.10118739491107023,0.9247408665101423,0.6556169071022727,False,False
llama3.1:8b,en,Authority,0.4828962155785445,0.24591778210523033,0.7160886193641103,0.6743525906156118,False,False
qwen2.5:7b,en,Authority,0.504360282890721,0.06383137507875297,0.7160886193641103,0.704326628369817,False,False
llama3.1:8b,es,Loyalty,0.5769733613482416,0.18026215477588317,0.8060515184614376,0.7158020897343482,False,False
llama3.1:8b,es,Authority,0.5587824623678596,0.20541286338602197,0.7160886193641103,0.7803258524958276,False,False
llama3.1:8b,es,Proportionality,0.5345701856217243,0.07442371187255357,0.6844705847380173,0.7809980407358664,False,False
