model,language,persona,n,n_parsed,mean_retries,mean_seconds,parse_rate,pct_clean_json
llama3.1:8b,en,Argentina,50,50,0.0,9.2424,1.0,1.0
llama3.1:8b,en,Chile,50,50,0.0,9.3358,1.0,1.0
llama3.1:8b,en,Colombia,50,50,0.0,9.1504,1.0,1.0
llama3.1:8b,en,Mexico,50,50,0.0,9.4998,1.0,1.0
llama3.1:8b,en,Peru,50,50,0.0,13.189200000000001,1.0,1.0
llama3.1:8b,en,none,50,50,0.0,9.7842,1.0,1.0
llama3.1:8b,es,Argentina,50,50,0.0,18.586,1.0,1.0
llama3.1:8b,es,Chile,50,50,0.0,17.613599999999998,1.0,1.0
llama3.1:8b,es,Colombia,50,50,0.0,17.5506,1.0,1.0
llama3.1:8b,es,Mexico,50,50,0.0,16.996199999999998,1.0,1.0
llama3.1:8b,es,Peru,50,50,0.0,18.5726,1.0,1.0
llama3.1:8b,es,none,50,50,0.0,17.5582,1.0,1.0
mistral:7b,en,Argentina,50,50,0.0,10.130600000000001,1.0,1.0
mistral:7b,en,Chile,50,50,0.02,10.0938,1.0,1.0
mistral:7b,en,Colombia,50,50,0.0,10.257200000000001,1.0,1.0
mistral:7b,en,Mexico,50,50,0.02,10.2826,1.0,1.0
mistral:7b,en,Peru,50,50,0.04,10.2212,1.0,1.0
mistral:7b,en,none,50,50,0.04,10.514800000000001,1.0,1.0
mistral:7b,es,Argentina,50,50,0.0,10.2902,1.0,1.0
mistral:7b,es,Chile,50,50,0.02,10.1196,1.0,1.0
mistral:7b,es,Colombia,50,50,0.02,10.0316,1.0,1.0
mistral:7b,es,Mexico,50,50,0.0,10.139800000000001,1.0,1.0
mistral:7b,es,Peru,50,50,0.0,10.1728,1.0,1.0
mistral:7b,es,none,50,50,0.0,10.484000000000002,1.0,1.0
qwen2.5:7b,en,Argentina,50,50,0.0,9.2904,1.0,1.0
qwen2.5:7b,en,Chile,50,50,0.0,9.245800000000001,1.0,1.0
qwen2.5:7b,en,Colombia,50,50,0.0,9.4614,1.0,1.0
qwen2.5:7b,en,Mexico,50,50,0.0,9.4794,1.0,1.0
qwen2.5:7b,en,Peru,50,50,0.0,9.170399999999999,1.0,1.0
qwen2.5:7b,en,none,50,50,0.0,9.4844,1.0,1.0
qwen2.5:7b,es,Argentina,50,50,0.0,9.1746,1.0,1.0
qwen2.5:7b,es,Chile,50,50,0.0,9.1766,1.0,1.0
qwen2.5:7b,es,Colombia,50,50,0.0,9.1636,1.0,1.0
qwen2.5:7b,es,Mexico,50,50,0.0,9.172,1.0,1.0
qwen2.5:7b,es,Peru,50,50,0.0,9.2174,1.0,1.0
qwen2.5:7b,es,none,50,50,0.0,9.2218,1.0,1.0
