model,language,foundation,F,p_value,eta2_model,eta2_human,p_human,p_holm,significant_holm
llama3.1:8b,en,Care,1.233812949640285,0.2970715982031195,0.019746121297602216,0.010448631433832352,0.029713537674619286,1.0,False
llama3.1:8b,en,Equality,10.444029892241138,7.925567150484278e-08,0.1456750291194248,0.010898865210327369,0.02440829431124151,2.4569258166501264e-06,True
llama3.1:8b,en,Proportionality,1.1848654006677788,0.317999938304792,0.01897762400966281,0.014239362963739786,0.005467637748231387,1.0,False
llama3.1:8b,en,Loyalty,6.869295030510987,2.9545255998187366e-05,0.10084213331089516,0.02052422250127578,0.0002898248999410829,0.0008568124239474336,True
llama3.1:8b,en,Authority,16.115802958522682,9.925965158599208e-12,0.20830654297174012,0.02122965855676072,0.0002069272603479573,3.275568502337739e-10,True
llama3.1:8b,en,Purity,28.820890329432874,1.2248989514110207e-19,0.31998007596040096,0.04924914882918921,1.6610997163700132e-10,4.16465643479747e-18,True
llama3.1:8b,es,Care,0.425173540220498,0.7904054984378134,0.006893755068937548,0.010448631433832352,0.029713537674619286,1.0,False
llama3.1:8b,es,Equality,1.4017689169807337,0.2339528790583368,0.022373971895960423,0.010898865210327369,0.02440829431124151,1.0,False
llama3.1:8b,es,Proportionality,0.968644417302476,0.4252985238848479,0.015568394753279199,0.014239362963739786,0.005467637748231387,1.0,False
llama3.1:8b,es,Loyalty,5.210662002661682,0.0004806245390292609,0.07840219831775073,0.02052422250127578,0.0002898248999410829,0.012976862553790046,True
llama3.1:8b,es,Authority,7.457717125566113,1.1029333044487432e-05,0.10854264175211693,0.02122965855676072,0.0002069272603479573,0.00033087999133462297,True
llama3.1:8b,es,Purity,0.9219327743879249,0.451751471374916,0.01482876168147245,0.04924914882918921,1.6610997163700132e-10,1.0,False
mistral:7b,en,Care,,,,0.010448631433832352,0.029713537674619286,,False
mistral:7b,en,Equality,0.39397229555196006,0.8128772794669354,0.006391091957264861,0.010898865210327369,0.02440829431124151,1.0,False
mistral:7b,en,Proportionality,0.6688626863809348,0.6141622124037158,0.010802244378562387,0.014239362963739786,0.005467637748231387,1.0,False
mistral:7b,en,Loyalty,1.3966221650313655,0.23569762440542022,0.022293654737716155,0.02052422250127578,0.0002898248999410829,1.0,False
mistral:7b,en,Authority,1.0642279532291572,0.374814497131414,0.01707841031149305,0.02122965855676072,0.0002069272603479573,1.0,False
mistral:7b,en,Purity,1.1265143171806173,0.3445345449481223,0.018059911322591122,0.04924914882918921,1.6610997163700132e-10,1.0,False
mistral:7b,es,Care,3.302238805970148,0.011686740269844221,0.05115606936416183,0.010448631433832352,0.029713537674619286,0.2921685067461055,False
mistral:7b,es,Equality,0.072819468962784,0.9903063933677407,0.0011874775098956432,0.010898865210327369,0.02440829431124151,1.0,False
mistral:7b,es,Proportionality,1.2957662885782115,0.2722639259943387,0.020717090307914857,0.014239362963739786,0.005467637748231387,1.0,False
mistral:7b,es,Loyalty,4.892403388035999,0.0008209997830394343,0.07396772928455377,0.02052422250127578,0.0002898248999410829,0.021345994359025292,True
mistral:7b,es,Authority,5.391154483841878,0.0003547030757863195,0.08089827563160003,0.02122965855676072,0.0002069272603479573,0.009931686122016945,True
mistral:7b,es,Purity,1.191848759400723,0.31494076785341635,0.019087339389855722,0.04924914882918921,1.6610997163700132e-10,1.0,False
qwen2.5:7b,en,Care,1.0322180916976456,0.3911759291915471,0.01657323909334633,0.010448631433832352,0.029713537674619286,1.0,False
qwen2.5:7b,en,Equality,1.2090114174974909,0.3075265895395793,0.019356877255325786,0.010898865210327369,0.02440829431124151,1.0,False
qwen2.5:7b,en,Proportionality,2.178256268608531,0.07201718149410492,0.03434204874534094,0.014239362963739786,0.005467637748231387,1.0,False
qwen2.5:7b,en,Loyalty,0.07183553793356212,0.9905541624991842,0.0011714512017358778,0.02052422250127578,0.0002898248999410829,1.0,False
qwen2.5:7b,en,Authority,0.7982647095409884,0.527302218887605,0.012865222150495395,0.02122965855676072,0.0002069272603479573,1.0,False
qwen2.5:7b,en,Purity,2.7651825381495088,0.02815677749027316,0.04319572995830502,0.04924914882918921,1.6610997163700132e-10,0.6476058822762827,False
qwen2.5:7b,es,Care,1.5610170744326999,0.18533886737102034,0.024852599864492782,0.010448631433832352,0.029713537674619286,1.0,False
qwen2.5:7b,es,Equality,0.45841181278652393,0.7662093802247638,0.007428676242345569,0.010898865210327369,0.02440829431124151,1.0,False
qwen2.5:7b,es,Proportionality,2.8424939067211956,0.02483259080811936,0.04434987209045256,0.014239362963739786,0.005467637748231387,0.5959821793948646,False
qwen2.5:7b,es,Loyalty,29.36171623662269,5.955952639071191e-20,0.3240388490153717,0.02052422250127578,0.0002898248999410829,2.0845834236749168e-18,True
qwen2.5:7b,es,Authority,13.333837185867326,7.609490613425498e-10,0.17877649754917566,0.02122965855676072,0.0002069272603479573,2.4350369962961594e-08,True
qwen2.5:7b,es,Purity,2.1636540109917815,0.07368980195170625,0.03411968675731484,0.04924914882918921,1.6610997163700132e-10,1.0,False
